KURUMLAR LİSTE,,,,,,,,,
IL_ADI,ILCE_ADI,KURUM_ADI,ADRES,TEL,FAX,MERNIS_ADRES_KODU,WEB_ADRES,KURUM_TUR_ADI,KURUM_TUR_KODU
İSTANBUL,ARNAVUTKÖY,HADIMKÖY İLKOKULU,HASTANE MAH. HARAÇÇI-HADIMKÖY YOLU CAD. NO: 291 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 771 20 21,(212) 771 31 41,2586110260,hadimkoyilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,HALİS KUTMANGİL İLKOKULU,İMRAHOR MAH. ÖĞRETMEN RAİF ÖZMEN CAD. NO: 7 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 686 00 70,(212) 686 13 24,1727534032,haliskutmangililkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,HASAN TAHSİN İLKOKULU,ADNAN MENDERES MAH. ÇANGAL ÇEŞME CAD. NO: 1 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 682 08 77,(212) 682 08 87,2634703835,arnavutkoyhasantahsinilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,İBB EVLİYA ÇELEBİ İLKOKULU,ÖMERLİ MAH. TERME SK. NO: 2 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 798 20 82,(212) 798 20 82,1145289862,ibbevliyacelebiilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,İBB YILDIRIM BEYAZIT İLKOKULU,DELİKLİKAYA MAH. ENDER SK. NO: 2 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 803 13 41,,3343026450,ibbyildirimbeyazitilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,KARABURUN İLKOKULU,KARABURUN MAH. BARAJ YOLU CAD. NO: 10 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 762 20 91,(212) 762 20 91,2006234021,karaburunorficetinkayailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,MALAZGİRT İLKOKULU,MAREŞAL FEVZİ ÇAKMAK MAH. YAYLA CAD. NO: 40 İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL,(212) 682 20 20,(212) 682 20 36,1772532576,malazgirtilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,MEHMET ZEKİ OBDAN İLKOKULU,Haraççı Mah.Bilen Sok.No:26 34281 Arnavutköy/İstanbul,(212) 683 00 27,(212) 683 00 27,3241616576,mehmetzekiobdanilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,MİLLİ EĞİTİM VAKFI FİRDEVS-LÜTFÜ ORGUN İLKOKULU,HİCRET MAH. SERTAÇ SK. NO: 3 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,,,5422737808,768424.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,MİMAR SİNAN İLKOKULU,ANADOLU MAH. GELİBOLU CAD. NO: 95 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 597 99 33,(212) 597 99 33,2022724179,arnavutkoymimarsinanilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,PİRİ REİS İLKOKULU,MUSTAFA KEMAL PAŞA MAH. 10. YIL CAD. - SİTESİ - BLOK NO: 21 ARNAVUTKÖY / İSTANBUL,(212) 597 00 49,(212) 597 00 48,3307622286,pirireisio.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,SABRİ AKIN İLKOKULU,HİCRET MAH. ABDULLAH GÜL CAD. SABRİ AKIN İ.Ö.O SİTESİ NO: 9 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 685 00 84,(212) 685 24 78,1978025706,sabriakin.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,SAZLIBOSNA İLKOKULU,SAZLIBOSNA MAH. GAZİLER SK. NO: 33/1 ARNAVUTKÖY / İSTANBUL,(212) 791 10 85,(212) 791 14 85,2145724932,sazlibosnailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,SUATLAR İLKOKULU,İSLAMBEY MAH. ÖZBAĞ SK. NO: 18 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 686 01 83,(212) 686 01 83,2329013987,suatlarilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,ŞEYH ŞAMİL İLKOKULU,İSLAMBEY MAH. TUĞRULBEY SK. NO: 36 İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL,(212) 597 99 69,(212) 597 99 69,1713734471,seyhsamililkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,TAŞOLUK İLKOKULU,M.FEVZİ ÇAKMAK MAH. EGEMEN CAD. NO: 14 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 682 15 45,(212) 682 00 32,1807365935,tasolukilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,TAYAKADIN İLKOKULU,TAYAKADIN MAH. TAYAKADIN-YASSIÖREN CAD. NO: 78 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 682 61 13,(212) 682 61 13,1032492983,tayakadinilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,TOKİ HADIMKÖY İLKOKULU,HADIMKÖY MAH. MEVLANA CAD. TOKI HADIMKÖY ILKOKULU NO: 132 İÇ KAPI NO: 3 ARNAVUTKÖY / İSTANBUL,(212) 780 10 96,(212) 780 10 96,2875332955,tokihadimkoyilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,TOKİ TAŞOLUK İLKOKULU,MEHMET AKİF ERSOY MAH. ÇELEBİ CAD. NO: 7 İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL,(212) 684 42 01,(212) 684 42 00,2021855305,tasoluktokiilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,TOLGA ETİ İLKOKULU,DURUSU MAH. TERKOS-KARABURUN CAD. NO: 66 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 767 61 42,(212) 767 80 30,2828802187,tolgaetiilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,YASSIÖREN İLKOKULU,YASSIÖREN MAH. KAPAKLI SK. NO: 9 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 773 01 83,(212) 773 01 83,1575448384,726432.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,YENİKÖY İLKOKULU,YENİKÖY MAH. HİLİM SK. NO: 6 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 768 00 67,(212) 768 00 67,1968761617,yenikoyorficetinkayailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,AKŞEMSETTİN İLKOKULU,MEVLANA MAH. YEDİ İKLİM SK. AKŞEMSETTİN İLKOKULU SİTESİ NO: 7-9 ATAŞEHİR / İSTANBUL,(216) 313 23 88,(216) 313 44 29,1754278214,aksemsettinilkokuluatasehir.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,ALİ FUAT CEBESOY İLKOKULU,ÖRNEK MAH. ERCÜMENT BATANAY SK. NO: 18 ATAŞEHİR / İSTANBUL,(216) 315 33 22,(216) 317 63 64,2257320420,alifuatcebesoyilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,ALİ NİHAT TARLAN İLKOKULU,ESATPAŞA MAH. ZİYA GÖKALP CAD. ALİ NİHAD TARLAN İLKOKULU BLOK NO: 17 İÇ KAPI NO: 2 ATAŞEHİR / İSTANBUL,(216) 324 22 61,(216) 324 25 74,2448413894,alinihadtarlanilkokulu.meb.k12.tr,İlkokul,225
